Item Name,UOM,Item Category,Variance ,Base Price,ID,No Decimal Values
Sunflower Oil,Litre,KIRANA,,150.00,"292482000006287011",true
Sunny Phenyl,Litre,F&B GENERAL PURCHASE,0.00,275.00,"292482000001983237",true
SURF POWDER,kg,F&B GENERAL PURCHASE,0.00,,"292482000002393219",false
Sweet Corn,kg,VEGETABLES,0.00,120.00,"292482000001902123",false
TANDOORI MASALA,kg,KIRANA,0.00,1000.00,"292482000000932947",false
Tar ghasni,Pieces ,F&B GENERAL PURCHASE,0.00,15.00,"292482000001920081",true
TEA MASALA,kg,KIRANA,0.00,1425.00,"292482000000392179",false
TEA POWDER,kg,KIRANA,0.00,620.00,"292482000000377739",false
Tempo,Trip,F&B TRANSPORT,0.00,10000.00,"292482000002137007",true
TIKHALAL POWDER ,kg,KIRANA,0.00,600.00,"292482000000904035",false
TOMATO - RED,kg,VEGETABLES,0.00,50.00,"292482000000368783",false
TOMATO KETCHUP,Packets,KIRANA,0.00,120.00,"292482000000390767",false
TOOR DAL,kg,KIRANA,0.00,140.00,"292482000000377705",false
Toothpick,Packets,F&B GENERAL PURCHASE,0.00,,"292482000001904117",false
TURAI (RIDGE GOURD),kg,VEGETABLES,0.00,100.00,"292482000002584019",false
Tuti Fruti,kg,KIRANA,0.00,250.00,"292482000001364621",false
URAD DAL,kg,KIRANA,0.00,160.00,"292482000000377727",false
Vati (small),Pieces ,KIRANA,0.00,1.50,"292482000006513127",true
Vim bar,Pieces ,F&B GENERAL PURCHASE,0.00,10.00,"292482000002111223",true
VINEGAR (650ml),Bottle,KIRANA,0.00,50.00,"292482000000390791",true
