Villa Name,Active,Primary Villa,Rent Type,Primary,Secondary Villa,Location,State,Head Office,Ekostay ID,Max Occ (member),Haewaya ID,ID,BHK,Bathroom,Category,Modified Time,Added Time
Windsor  Villa,true,Windsor  Villa,Revenue Share,false,Windsor  Villa,Panchgani,Maharashtra,Central Office,237,15.00,1061,"292482000000368301",4BHK,4.00,Original,18-Aug-2026 18:49:36,20-Aug-2025 12:40:36
Forestwood Villa,true,Forestwood Villa,Lease,false,Forestwood Villa,Alibaug,Maharashtra,Central Office,233,15.00,"938,6483","292482000000368297",3BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Woodside Ivy Villa,true,Woodside Ivy Villa,Lease,false,Woodside Ivy Villa,Ooty And Coonoor,Tamil Nadu,Central Office,227,14.00,"8170,1062","292482000000368293",3BHK,3.00,Gold,18-Aug-2026 18:45:58,20-Aug-2025 12:42:57
EKOSTAY- Morning Star Villa,false,EKOSTAY- Morning Star Villa,Revenue Share,false,EKOSTAY- Morning Star Villa,Lonavala,Maharashtra,Central Office,225,18.00,1029,"292482000000368289",4BHK,4.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Hawaiian Villa,true,Hawaiian Villa,Lease,false,Hawaiian Villa,Bangalore,Karnataka,Central Office,224,20.00,,"292482000000368285",6BHK,6.00,Original,23-Jun-2026 15:43:58,20-Aug-2025 12:42:33
EKOSTAY-  Caribbean Villa #02 BHK,true,EKOSTAY-  Caribbean Villa #06 BHK,Revenue Share,false,,Panvel,Maharashtra,Central Office,223,12.00,1051,"292482000000368281",2BHK,2.00,Original,18-Aug-2026 18:44:44,20-Aug-2025 12:48:38
Casablanca Villa,true,Casablanca Villa,Lease,false,Casablanca Villa,Igatpuri,Maharashtra,Central Office,217,21.00,"1043,952","292482000000368277",5BHK,5.00,Luxury,18-Aug-2026 18:49:09,20-Aug-2025 12:40:53
Casa Paradiso,true,Casa Paradiso,Revenue Share,false,Casa Paradiso,Alibaug,Maharashtra,Central Office,212,15.00,"931,6486","292482000000368273",3BHK,3.00,Original,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
Athens Villa  Nerul,true,Athens Villa  Nerul,Lease,false,,Goa,Goa,Central Office,208,7.00,,"292482000000368269",2BHK,2.00,Original,18-Aug-2026 18:43:44,20-Aug-2025 12:48:52
Kufri Chalet,true,Kufri Chalet,Lease,false,,Kufri,Himachal Pradesh,Central Office,203,4.00,,"292482000000368265",1BHK,1.00,Original,23-Jun-2026 15:37:57,20-Aug-2025 12:48:25
Wolf Villa,true,Wolf Villa,Lease,false,,Kullu and Manali,Himachal Pradesh,Central Office,200,5.00,,"292482000000368261",2BHK,2.00,Original,23-Jun-2026 15:20:51,20-Aug-2025 12:46:18
Bloomsbury Villa,true,Bloomsbury Villa,Lease,false,,Dehradun,Uttarakand,Central Office,197,12.00,,"292482000000368257",4BHK,4.00,Original,23-Jun-2026 15:18:26,20-Aug-2025 12:47:35
Cliff Haven Villa,true,Cliff Haven Villa,Lease,false,,Bhimtal,Uttarakand,Central Office,195,8.00,,"292482000000368253",3BHK,3.00,Original,23-Jun-2026 15:19:49,20-Aug-2025 12:47:20
Birchwood Apartment,true,Birchwood Apartment,Lease,false,,Dalhousie,Himachal Pradesh,Central Office,192,8.00,,"292482000000368249",3BHK,3.00,Original,23-Jun-2026 15:41:00,20-Aug-2025 12:44:23
Gables Apartment,true,Gables Apartment,Lease,false,,Dalhousie,Himachal Pradesh,Central Office,190,7.00,,"292482000000368245",2BHK,2.00,Original,23-Jun-2026 15:41:00,20-Aug-2025 12:44:23
Corner House Villa,true,Corner House Villa,Lease,false,,Kasauli,Himachal Pradesh,Central Office,182,8.00,,"292482000000368241",3BHK,3.00,Original,23-Jun-2026 15:40:34,20-Aug-2025 12:45:04
Osko Apartment,true,Osko Apartment,Lease,false,,Kasauli,Himachal Pradesh,Central Office,181,8.00,,"292482000000368237",3BHK,2.00,Original,23-Jun-2026 15:40:34,20-Aug-2025 12:45:04
Oakland Villa,true,Oakland Villa,Lease,false,,Kasauli,Himachal Pradesh,Central Office,180,12.00,,"292482000000368233",4BHK,4.00,Original,23-Jun-2026 15:40:34,20-Aug-2025 12:45:04
Pineforest Villa,true,Pineforest Villa,Lease,false,,Kasauli,Himachal Pradesh,Central Office,179,6.00,1055,"292482000000368229",3BHK,3.00,Original,23-Jun-2026 15:40:34,20-Aug-2025 12:45:04
Radiance Shine Villa,true,Radiance Shine Villa,Lease,false,,Nainital,Uttarakand,Central Office,176,6.00,,"292482000000368225",3BHK,3.00,Original,23-Jun-2026 15:20:07,20-Aug-2025 12:47:00
Tropicana Villa(Shivay),true,Tropicana Villa(Shivay),Lease,false,Tropicana Villa(Shivay),Lonavala,Maharashtra,Central Office,167,16.00,"910,1005","292482000000368221",4BHK,4.00,Original,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Summer Salt,true,Summer Salt,Lease,false,,Jodhpur,Rajasthan,Central Office,165,16.00,,"292482000000368217",4BHK,5.00,Original,23-Jun-2026 15:20:22,20-Aug-2025 12:46:39
Gatsby Villa,false,Gatsby Villa,Revenue Share,false,Gatsby Villa,Lonavala,Maharashtra,Central Office,155,18.00,1014,"292482000000368213",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Olive Crest,false,Olive Crest,Revenue Share,false,Olive Crest,Lonavala,Maharashtra,Central Office,154,18.00,1011,"292482000000368209",4BHK,4.00,Gold,18-Aug-2026 18:50:06,05-Aug-2025 15:53:00
Casa Zul,true,Casa Zul,Lease,false,Casa Zul,Alibaug,Maharashtra,Central Office,150,15.00,"937,6484","292482000000368205",4BHK,3.00,Gold,19-Aug-2026 04:59:56,05-Aug-2025 15:52:45
